-40	 -7	 50
 40	 -9	 51
-19	 34	 41
 21	 30	 43
-34	 32	 34
 37	 32	 33
 49	 14	 20
-47	 29	 13
 49	 29	 13
-48	 -9	 13
 52	 -7	 14
 -6	  4	 60
 -6	 48	 30
  8	 50	 29
-36	  6	  2
 38	  5	  1
 -5	 34	 13
  7	 36	 15
 -6	-16	 41
  7	-10	 39
  6	-43	 21
-26	-22	-11
 28	-21	-11
 24	-16	-21
-24	 -2	-18
 26	  0	-19
 -8	-80	  5
 15	-74	  8
 -7	-81	 26
-16	-69	 -6
 15	-68	 -5
-18	-85	 27
 36	-81	 18
 33	-40	-21
-43	-24	 48
 40	-26	 52
 25	-60	 61
-57	-35	 29
 45	-61	 38
 -8	-57	 47
  9	-57	 43
 -9	-26	 69
-12	 10	  8
 14	 11	  8
-25	  3	  1
 27	  4	  1
 20	 -1	 -1
-12	-19	  7
 12	-19	  7
-43	-20	  9
 45	-18	  9
-54	-22	  6
 57	-23	  6
 47	 14	-18
